agent_type,total_tokens,total_cost,avg_tokens_per_appearance,avg_cost_per_appearance,avg_latency,total_appearances,loops_participated,files_appeared,loops_list
radical_progressive,666311,0.10497999999999999,23796.821428571428,0.003749285714285714,9582.506428571429,28,1,4,0
ethical_purist,38366,0.006456,9591.5,0.001614,8250.355,4,1,4,0
